t,ax,ay,az 
1.5395849322751E13,-0.14546204,-0.019622803,9.904434
1.5395854358152E13,-0.13279724,0.011444092,9.981079
1.5395859393552E13,-0.12561035,0.014984131,10.041321
1.5395864428952E13,-0.08457947,-0.007232666,9.930557
1.5395869464353E13,-0.13569641,-0.011077881,9.897186
1.5395874499753E13,-0.10673523,-0.0066223145,10.019516
1.5395879535154E13,-0.09854126,-0.022705078,9.966232
1.5395884570554E13,-0.11729431,0.0076446533,9.801544
1.5395889605954E13,-0.11071777,0.023452759,9.983444
1.5395894641355E13,-0.15750122,0.03125,9.991226
1.5395899676755E13,-0.13705444,0.017715454,9.949188
1.5395904712156E13,-0.10446167,-0.003250122,9.934326
1.5395909747556E13,-0.08540344,0.011138916,10.03064
1.5395914782956E13,-0.10649109,-0.011367798,9.936218
1.5395919818357E13,-0.11907959,-0.0131073,9.810196
1.5395924853757E13,-0.08882141,0.009429932,9.950653
1.5395929889158E13,-0.1269226,0.006576538,10.062805
1.5395934924558E13,-0.12757874,0.028411865,9.898331
1.5395939959958E13,-0.12986755,0.013305664,9.927933
1.5395944995359E13,-0.11685181,0.03729248,10.0008545
1.5395950030759E13,-0.10424805,0.00793457,9.991257
1.5395955066159E13,-0.13729858,0.036102295,9.885086
1.539596010156E13,-0.15180969,0.0053710938,9.861679
1.539596513696E13,-0.12612915,0.027938843,10.026138
1.5395970172361E13,-0.14723206,-0.01159668,10.049515
1.5395975207761E13,-0.1418457,0.012542725,9.977661
1.5395980243161E13,-0.12553406,0.018447876,10.006073
1.5395985278562E13,-0.10333252,0.027664185,9.997406
1.5395990313962E13,-0.11595154,0.05467224,9.939758
1.5395995349363E13,-0.10731506,0.02217102,9.941971
1.5396000384763E13,-0.13056946,0.0014343262,10.001953
1.5396005420163E13,-0.1386261,0.037078857,9.963272
1.5396010455564E13,-0.1252594,0.0018920898,9.987152
1.5396015490964E13,-0.13395691,-0.018722534,10.046082
1.5396020526365E13,-0.11378479,-0.0057678223,10.0394745
1.5396025561765E13,-0.10142517,0.0039978027,10.0243225
1.5396030597165E13,-0.10169983,0.014968872,10.015244
1.5396035632566E13,-0.12867737,0.028320313,10.064407
1.5396040667966E13,-0.12911987,0.038116455,10.070496
1.5396045703367E13,-0.12257385,0.044631958,10.01239
1.5396050738767E13,-0.12489319,0.033859253,10.034729
1.5396055774167E13,-0.113357544,0.024932861,10.081238
1.5396060809568E13,-0.13757324,-0.0027770996,10.014023
1.5396065844968E13,-0.12916565,-0.00932312,9.979355
1.5396070880368E13,-0.09867859,7.019043E-4,10.044922
1.5396075915769E13,-0.082458496,-0.009536743,10.049057
1.5396080951169E13,-0.11242676,0.0053100586,9.968338
1.539608598657E13,-0.13046265,0.0124053955,9.960159
1.539609102197E13,-0.11526489,0.01550293,10.036163
