t,ax,ay,az 
1.5122200479373E13,-0.20109558,0.025253296,10.020004
1.5122205514773E13,-0.21899414,0.03427124,9.689926
1.5122210550174E13,-0.22824097,0.053710938,9.579193
1.5122215585574E13,-0.23165894,0.049209595,9.760498
1.5122220620974E13,-0.24577332,0.047683716,9.986633
1.5122225656375E13,-0.23274231,0.0087890625,10.094833
1.5122230691775E13,-0.17759705,0.04524231,10.124252
1.5122235727176E13,-0.18890381,0.09051514,10.072449
1.5122240762576E13,-0.24389648,0.058425903,9.874878
1.5122245797976E13,-0.19630432,0.06666565,9.812775
1.5122250833377E13,-0.2077179,0.08886719,9.801544
1.5122255868777E13,-0.23239136,0.04685974,9.89917
1.5122260904177E13,-0.23454285,0.05380249,9.999756
1.5122265939578E13,-0.19342041,0.070007324,10.056442
1.5122270974978E13,-0.21775818,0.015716553,9.978836
1.5122276010379E13,-0.20944214,0.035369873,9.90152
1.5122281045779E13,-0.21000671,0.07098389,9.865463
1.5122286081179E13,-0.22764587,0.052719116,9.853714
1.512229111658E13,-0.25393677,0.07122803,9.930939
1.512229615198E13,-0.20861816,0.034210205,9.967972
1.5122301187381E13,-0.23509216,0.0043029785,9.990036
1.5122306222781E13,-0.19950867,0.04460144,10.002502
1.5122311258181E13,-0.23338318,0.038909912,9.93277
1.5122316293582E13,-0.26480103,0.03878784,9.924347
1.5122321328982E13,-0.22088623,0.023345947,9.935333
1.5122326364383E13,-0.36393738,0.17555237,10.140015
1.5122331399783E13,-0.22306824,0.0680542,9.958832
1.5122336435183E13,-0.25053406,0.010559082,9.988388
1.5122341470584E13,-0.19299316,0.06895447,10.037445
1.5122346505984E13,-0.18502808,0.090927124,9.979919
1.5122351541384E13,-0.19845581,0.055358887,9.926849
1.5122356576785E13,-0.21549988,0.043045044,9.953217
1.5122361612185E13,-0.22032166,0.0418396,9.979172
1.5122366647586E13,-0.22177124,0.054229736,10.00148
1.5122371682986E13,-0.20175171,-0.009277344,10.022598
1.5122376718386E13,-0.19563293,0.045578003,10.013062
1.5122381753787E13,-0.20481873,0.039230347,10.019684
1.5122386789187E13,-0.19468689,0.0084991455,10.032806
1.5122391824588E13,-0.253479,0.030670166,10.003403
1.5122396859988E13,-0.22843933,0.0345459,10.033478
1.5122401895388E13,-0.22972107,0.04096985,10.0503845
1.5122406930789E13,-0.20814514,-0.01574707,9.998611
1.5122411966189E13,-0.19515991,0.04664612,10.023804
1.512241700159E13,-0.21844482,0.05392456,10.040924
1.512242203699E13,-0.17726135,0.033111572,10.015503
1.512242707239E13,-0.24829102,0.026550293,10.024521
1.5122432107791E13,-0.23498535,0.03451538,10.005081
1.5122437143191E13,-0.22744751,0.037643433,10.008377
1.5122442178592E13,-0.21998596,0.025360107,9.96608
1.5122447213992E13,-0.22772217,0.021514893,9.998978
1.5122452249392E13,-0.23352051,0.02470398,10.031509
1.5122457284793E13,-0.23590088,0.013122559,9.999161
1.5122462320193E13,-0.22322083,0.025802612,10.03186
1.5122467355593E13,-0.21650696,0.03779602,10.030609
1.5122472390994E13,-0.21243286,0.0448761,10.0082855
1.5122477426394E13,-0.21391296,0.044830322,10.01915
1.5122482461795E13,-0.22940063,0.04269409,10.011078
1.5122487497195E13,-0.23880005,0.04737854,10.000687
1.5122492532595E13,-0.22117615,0.06201172,9.984482
1.5122497567996E13,-0.21655273,0.040405273,10.012955
1.5122502603396E13,-0.23323059,0.041503906,10.02124
1.5122507638797E13,-0.2185669,0.054260254,10.021896
1.5122512674197E13,-0.21650696,0.05580139,10.019363
1.5122517709597E13,-0.21798706,0.045333862,10.026077
