t,ax,ay,az 
1.5606092408509E13,-1.6685333,2.7229156,10.215866
1.5606097443909E13,-1.6134338,2.7801056,10.630692
1.560610247931E13,-1.5008698,2.7723236,11.028793
1.560610751471E13,-1.3308411,2.6735992,11.37468
1.5606112550111E13,-1.1278381,2.5554047,11.534393
1.5606117585511E13,-0.9108734,2.4816132,11.430771
1.5606122620911E13,-0.7378998,2.5112762,11.090164
1.5606127656312E13,-0.61657715,2.5669098,10.708542
1.5606132691712E13,-0.51335144,2.5983887,10.514725
1.5606137727113E13,-0.41567993,2.6843414,10.329346
1.5606142762513E13,-0.3911438,2.6974792,10.074188
1.5606147797913E13,-0.4230194,2.6947632,9.81131
1.5606152833314E13,-0.49398804,2.774643,9.60083
1.5606157868714E13,-0.5618286,2.841156,9.376465
1.5606162904115E13,-0.66378784,2.8698578,9.317993
1.5606167939515E13,-0.7612915,2.8757782,9.273285
1.5606172974915E13,-0.84529114,2.8278198,9.250839
1.5606178010316E13,-0.9132385,2.8252258,9.180405
1.5606183045716E13,-0.95747375,2.7927856,9.086197
1.5606188081116E13,-1.0007935,2.6666718,9.083038
1.5606193116517E13,-0.98150635,2.5919037,9.036484
1.5606198151917E13,-0.90901184,2.5835876,8.895859
1.5606203187318E13,-0.9029236,2.5655365,8.765717
1.5606208222718E13,-0.852829,2.639511,8.751099
1.5606213258118E13,-0.67411804,2.793808,8.778641
1.5606218293519E13,-0.3985901,3.0056,8.947601
1.5606223328919E13,-0.14959717,3.1989594,9.21933
1.560622836432E13,-0.052856445,3.34198,9.04776
1.560623339972E13,-0.07723999,3.3333893,8.986496
1.560623843512E13,-0.091812134,3.3362732,8.989227
1.5606243470521E13,-0.16299438,3.23909,8.995972
1.5606248505921E13,-0.25473022,3.1280975,8.961929
1.5606253541322E13,-0.32217407,3.0097198,9.061539
1.5606258576722E13,-0.47802734,2.8328552,9.200058
1.5606263612122E13,-0.6696472,2.6667175,9.340317
1.5606268647523E13,-0.81921387,2.4830627,9.409805
1.5606273682923E13,-0.9358368,2.3950653,9.550079
1.5606278718324E13,-0.99497986,2.3560028,9.647781
1.5606283753724E13,-1.102478,2.308075,9.758469
1.5606288789124E13,-1.1313934,2.314148,9.929504
1.5606293824525E13,-1.0785217,2.3880615,9.931915
1.5606298859925E13,-0.9331665,2.4388733,9.9236145
1.5606303895325E13,-0.8496094,2.4457703,9.877045
1.5606308930726E13,-0.7523041,2.434494,9.822266
1.5606313966126E13,-0.6484833,2.4575958,9.713821
1.5606319001527E13,-0.5937042,2.5083618,9.57695
1.5606324036927E13,-0.5289154,2.5737305,9.460907
1.5606329072327E13,-0.48583984,2.664154,9.40033
1.5606334107728E13,-0.43823242,2.7477264,9.311005
1.5606339143128E13,-0.4404602,2.7683105,9.1796875
1.5606344178529E13,-0.4258728,2.7301788,9.0004425
1.5606349213929E13,-0.48539734,2.6607208,8.931686
1.5606354249329E13,-0.5523529,2.649109,8.921005
1.560635928473E13,-0.6122589,2.7037354,8.899429
1.560636432013E13,-0.6653595,2.7501984,9.010239
1.5606369355531E13,-0.72595215,2.78125,9.279724
1.5606374390931E13,-0.7618866,2.786148,9.474304
1.5606379426331E13,-0.79229736,2.7940826,9.537552
1.5606384461732E13,-0.76052856,2.7872925,9.522217
1.5606389497132E13,-0.69569397,2.723999,9.536621
1.5606394532532E13,-0.6073456,2.7092896,9.561188
1.5606399567933E13,-0.502655,2.7597656,9.570847
1.5606404603333E13,-0.39479065,2.8667603,9.554535
1.5606409638734E13,-0.3578186,2.9514923,9.474533
1.5606414674134E13,-0.3808136,2.9498596,9.405853
1.5606419709534E13,-0.50064087,2.907135,9.420853
1.5606424744935E13,-0.6876373,2.812851,9.463913
1.5606429780335E13,-0.8480377,2.6257324,9.514618
1.5606434815736E13,-0.9981079,2.417923,9.62439
1.5606439851136E13,-1.1678772,2.2583008,9.668686
1.5606444886536E13,-1.3033905,2.115036,9.649475
1.5606449921937E13,-1.3283691,2.0582428,9.641037
1.5606454957337E13,-1.3322144,2.080429,9.591705
1.5606459992738E13,-1.3183289,2.2243347,9.570496
1.5606465028138E13,-1.2501984,2.3555908,9.600235
1.5606470063538E13,-1.210083,2.4631348,9.6392975
1.5606475098939E13,-1.1103363,2.54451,9.58902
1.5606480134339E13,-0.93940735,2.5884857,9.472382
1.560648516974E13,-0.7407379,2.633606,9.36026
1.560649020514E13,-0.54782104,2.6452942,9.2513275
1.560649524054E13,-0.4698944,2.7181854,9.174515
1.5606500275941E13,-0.46902466,2.7593384,9.200882
1.5606505311341E13,-0.5215912,2.7914429,9.199722
1.5606510346741E13,-0.57341003,2.797638,9.160431
1.5606515382142E13,-0.5115509,2.767624,9.143066
1.5606520417542E13,-0.5124817,2.7152405,9.1026
1.5606525452943E13,-0.5750122,2.7071838,8.890839
1.5606530488343E13,-0.66230774,2.630783,8.868118
1.5606535523743E13,-0.75997925,2.5951996,8.752853
1.5606540559144E13,-0.8309326,2.5994873,8.745453
1.5606545594544E13,-0.88067627,2.644455,8.905838
1.5606550629945E13,-0.901886,2.6634064,8.993881
1.5606555665345E13,-0.8550873,2.6347198,9.317276
1.5606560700745E13,-0.7777252,2.6204834,9.71199
1.5606565736146E13,-0.72735596,2.6261444,10.112259
1.5606570771546E13,-0.722229,2.6262054,10.215393
1.5606575806947E13,-0.75697327,2.6180573,10.326279
1.5606580842347E13,-0.8449707,2.560791,10.3063965
1.5606585877747E13,-0.8976593,2.5208435,10.188278
1.5606590913148E13,-0.9851837,2.4579926,10.03566
1.5606595948548E13,-0.9798889,2.3760834,9.665955
1.5606600983949E13,-0.872345,2.4965668,9.411209
1.5606606019349E13,-0.8090668,2.6438751,9.21019
1.5606611054749E13,-0.84690857,2.8033447,9.209076
1.560661609015E13,-0.9032898,2.863083,9.196487
1.560662112555E13,-0.98558044,2.8570404,9.165634
1.560662616095E13,-0.93388367,2.8789673,9.156235
1.5606631196351E13,-0.85362244,2.8339233,9.215271
1.5606636231751E13,-0.88031006,2.7071533,9.240341
1.5606641267152E13,-0.9567108,2.5917053,9.187958
1.5606646302552E13,-1.0556183,2.5326996,9.064133
1.5606651337952E13,-1.1090698,2.5774689,8.855911
1.5606656373353E13,-1.1212311,2.685501,8.728607
1.5606661408753E13,-1.0343933,2.902481,8.676056
1.5606666444154E13,-0.91444397,3.0806274,8.794815
1.5606671479554E13,-0.8438568,3.2349243,8.973068
1.5606676514954E13,-0.76387024,3.341919,9.203644
1.5606681550355E13,-0.6396637,3.3520966,9.427444
1.5606686585755E13,-0.621109,3.2164612,9.669052
1.5606691621156E13,-0.6197815,3.0732422,9.829926
1.5606696656556E13,-0.68440247,2.9255981,9.920181
1.5606701691956E13,-0.775177,2.8015442,9.903503
1.5606706727357E13,-0.81044006,2.800415,9.871735
1.5606711762757E13,-0.76979065,2.8743591,9.844803
1.5606716798157E13,-0.7124939,2.9768982,9.896225
1.5606721833558E13,-0.6557312,3.0431824,10.03064
1.5606726868958E13,-0.56874084,3.1118164,10.1762085
1.5606731904359E13,-0.52589417,3.1705627,10.378326
1.5606736939759E13,-0.47140503,3.1716614,10.60704
1.5606741975159E13,-0.41577148,3.1316986,10.8069
1.560674701056E13,-0.4268036,3.0494995,10.932098
1.560675204596E13,-0.55101013,2.8977509,10.949844
1.5606757081361E13,-0.7955475,2.7432404,10.79303
1.5606762116761E13,-1.0455017,2.626999,10.478668
1.5606767152161E13,-1.1996002,2.615326,10.133133
1.5606772187562E13,-1.3102875,2.6595154,9.761475
1.5606777222962E13,-1.3729858,2.6863708,9.444244
1.5606782258363E13,-1.3890991,2.7360077,9.291077
1.5606787293763E13,-1.3367615,2.783615,9.224472
1.5606792329163E13,-1.207077,2.85437,9.256882
1.5606797364564E13,-1.0591888,2.9120483,9.264954
1.5606802399964E13,-0.90319824,2.9470825,9.242233
1.5606807435365E13,-0.8143616,2.9669952,9.226501
1.5606812470765E13,-0.7814026,2.9663544,9.148209
1.5606817506165E13,-0.73851013,3.0189362,9.018265
1.5606822541566E13,-0.7436371,3.0211945,8.890121
1.5606827576966E13,-0.8169708,3.0175629,8.804794
1.5606832612366E13,-0.87423706,2.9887848,8.843933
1.5606837647767E13,-0.85606384,2.9525757,8.896576
1.5606842683167E13,-0.84065247,2.941452,8.994049
1.5606847718568E13,-0.8174896,2.9443054,9.077057
1.5606852753968E13,-0.82421875,2.8884583,9.167496
1.5606857789368E13,-0.8859558,2.900238,9.202515
1.5606862824769E13,-1.0049133,2.8691406,9.231812
1.5606867860169E13,-1.0388336,2.8515472,9.228088
1.560687289557E13,-0.93374634,2.8457947,9.266815
1.560687793097E13,-0.8279114,2.9411774,9.240112
1.560688296637E13,-0.75024414,3.0063934,9.175858
1.5606888001771E13,-0.763855,3.0159454,9.251343
1.5606893037171E13,-0.68504333,3.0521698,9.371582
1.5606898072572E13,-0.6108551,3.0638275,9.4748535
1.5606903107972E13,-0.5800781,3.1057587,9.649918
1.5606908143372E13,-0.49508667,3.1070862,9.77916
1.5606913178773E13,-0.56684875,3.126007,9.824066
1.5606918214173E13,-0.59646606,3.0857391,9.792923
1.5606923249574E13,-0.6491699,3.0639038,9.703232
1.5606928284974E13,-0.68663025,3.145172,9.529037
1.5606933320374E13,-0.6927948,3.1468658,9.581253
