t,mx,my,mz,mxb,myb,mzb 
1.5396201800779E13,-272.8958,-392.128,515.51666,1.0238647,68.74237,496.78802
1.539622194238E13,-272.76,-390.64484,515.11993,1.0238647,68.74237,496.78802
1.5396242083982E13,-272.89276,-390.7776,515.3351,1.0238647,68.74237,496.78802
1.5396262225583E13,-273.2788,-391.3452,515.52277,1.0238647,68.74237,496.78802
1.5396282367185E13,-273.2788,-391.85486,514.2731,1.0238647,68.74237,496.78802
1.5396302508786E13,-273.3307,-391.70227,514.42413,1.0238647,68.74237,496.78802
1.5396322650388E13,-273.24066,-391.65344,514.88495,1.0238647,68.74237,496.78802
1.539634279199E13,-272.76,-392.37366,515.11993,1.0238647,68.74237,496.78802
1.5396362933591E13,-272.52655,-392.0227,515.4663,1.0238647,68.74237,496.78802
1.5396383075193E13,-272.12982,-390.91644,515.6082,1.0238647,68.74237,496.78802
1.5396403216794E13,-272.2412,-390.12604,514.6118,1.0238647,68.74237,496.78802
1.5396423358396E13,-272.90344,-390.2588,514.8712,1.0238647,68.74237,496.78802
1.5396443499997E13,-273.2315,-390.67383,515.35645,1.0238647,68.74237,496.78802
1.5396463641599E13,-272.0688,-390.9897,515.4587,1.0238647,68.74237,496.78802
1.5396483783201E13,-272.73102,-391.06445,515.38696,1.0238647,68.74237,496.78802
1.5396503924802E13,-273.7732,-391.16364,515.5823,1.0238647,68.74237,496.78802
1.5396524066404E13,-273.97003,-391.16364,515.9668,1.0238647,68.74237,496.78802
1.5396544208005E13,-273.72742,-391.2445,515.88745,1.0238647,68.74237,496.78802
1.5396564349607E13,-273.20557,-391.41846,515.39764,1.0238647,68.74237,496.78802
1.5396584491208E13,-272.93243,-391.50848,514.95056,1.0238647,68.74237,496.78802
1.539660463281E13,-272.31445,-391.4215,514.51874,1.0238647,68.74237,496.78802
1.5396624774411E13,-272.16797,-392.13715,514.0167,1.0238647,68.74237,496.78802
1.5396644916013E13,-272.5876,-392.89093,513.9343,1.0238647,68.74237,496.78802
1.5396665057615E13,-271.82007,-402.49176,513.18207,1.0238647,68.74237,496.78802
1.5396685199216E13,-268.69354,-425.6302,510.878,1.0238647,68.74237,496.78802
1.5396705340818E13,-266.7099,-437.83264,509.53217,1.0238647,68.74237,496.78802
1.5396725482419E13,-265.36713,-441.86096,509.83582,1.0238647,68.74237,496.78802
1.5396745624021E13,-264.67133,-444.16046,508.61816,1.0238647,68.74237,496.78802
1.5396765765622E13,-264.80865,-443.88275,507.66907,1.0238647,68.74237,496.78802
1.5396785907224E13,-263.81073,-443.7729,507.9956,1.0238647,68.74237,496.78802
1.5396806048826E13,-266.69922,-432.26166,507.63397,1.0238647,68.74237,496.78802
1.5396826190427E13,-268.61115,-425.90637,507.33032,1.0238647,68.74237,496.78802
1.5396846332029E13,-269.67773,-404.0146,509.5337,1.0238647,68.74237,496.78802
1.539686647363E13,-261.3907,-368.06946,512.175,1.0238647,68.74237,496.78802
1.5396886615232E13,-257.3761,-356.24695,512.9181,1.0238647,68.74237,496.78802
1.5396906756833E13,-238.76038,-313.22937,509.2224,1.0238647,68.74237,496.78802
1.5396926898435E13,-219.45343,-279.75616,502.4109,1.0238647,68.74237,496.78802
1.5396947040036E13,-214.85443,-273.2788,500.38757,1.0238647,68.74237,496.78802
1.5396967181638E13,-194.86237,-260.4843,492.03186,1.0238647,68.74237,496.78802
1.539698732324E13,-176.40533,-272.406,484.59167,1.0238647,68.74237,496.78802
1.5397007464841E13,-172.67914,-277.0813,483.11615,1.0238647,68.74237,496.78802
1.5397027606443E13,-152.97852,-303.81927,477.8778,1.0238647,68.74237,496.78802
1.5397047748044E13,-124.16992,-327.20642,473.51532,1.0238647,68.74237,496.78802
1.5397067889646E13,-118.57605,-331.18286,472.78595,1.0238647,68.74237,496.78802
1.5397088031247E13,-92.79785,-350.148,469.01398,1.0238647,68.74237,496.78802
1.5397108172849E13,-57.162476,-356.56128,468.0954,1.0238647,68.74237,496.78802
1.5397128314451E13,-51.85547,-357.1106,468.04504,1.0238647,68.74237,496.78802
1.5397148456052E13,-14.51416,-344.9768,467.7414,1.0238647,68.74237,496.78802
1.5397168597654E13,9.794617,-313.22632,468.31512,1.0238647,68.74237,496.78802
1.5397188739255E13,12.10022,-309.75037,468.3838,1.0238647,68.74237,496.78802
1.5397208880857E13,33.488464,-286.07483,469.50378,1.0238647,68.74237,496.78802
1.5397229022458E13,55.696106,-260.80933,467.8192,1.0238647,68.74237,496.78802
1.539724916406E13,57.040405,-259.27734,467.7063,1.0238647,68.74237,496.78802
1.5397269305661E13,70.166016,-247.5174,465.53497,1.0238647,68.74237,496.78802
1.5397289447263E13,79.17633,-221.55304,465.50446,1.0238647,68.74237,496.78802
1.5397309588865E13,79.434204,-220.4834,465.58838,1.0238647,68.74237,496.78802
1.5397329730466E13,85.88867,-181.45752,470.8847,1.0238647,68.74237,496.78802
1.5397349872068E13,96.969604,-150.89874,469.56787,1.0238647,68.74237,496.78802
1.5397370013669E13,97.24884,-149.91608,469.49768,1.0238647,68.74237,496.78802
