t,mx,my,mz,mxb,myb,mzb 
1.5122557992801E13,19.805908,28.811646,452.3819,1.0238647,68.74237,496.78802
1.5122578134402E13,19.92035,29.226685,452.42615,1.0238647,68.74237,496.78802
1.5122598276004E13,20.223999,28.520203,450.94147,1.0238647,68.74237,496.78802
1.5122618417605E13,19.91272,28.987122,451.09406,1.0238647,68.74237,496.78802
1.5122638559207E13,19.296265,29.006958,450.74158,1.0238647,68.74237,496.78802
1.5122658700808E13,19.013977,28.347778,450.0946,1.0238647,68.74237,496.78802
1.512267884241E13,19.77539,29.109192,450.17853,1.0238647,68.74237,496.78802
1.5122698984011E13,20.22705,28.707886,450.766,1.0238647,68.74237,496.78802
1.5122719125613E13,19.877625,27.48413,451.2802,1.0238647,68.74237,496.78802
1.5122739267215E13,19.41986,28.123474,452.08893,1.0238647,68.74237,496.78802
1.5122759408816E13,18.920898,28.968811,452.5345,1.0238647,68.74237,496.78802
1.5122779550418E13,18.841553,29.211426,452.29645,1.0238647,68.74237,496.78802
1.5122799692019E13,18.841553,29.211426,451.9104,1.0238647,68.74237,496.78802
1.5122819833621E13,18.443298,28.616333,450.8438,1.0238647,68.74237,496.78802
1.5122839975222E13,18.148804,28.175354,450.26398,1.0238647,68.74237,496.78802
1.5122860116824E13,18.676758,28.701782,450.98877,1.0238647,68.74237,496.78802
1.5122880258426E13,19.33136,28.085327,451.13983,1.0238647,68.74237,496.78802
1.5122900400027E13,19.532776,27.48413,450.94147,1.0238647,68.74237,496.78802
1.5122920541629E13,20.092773,27.36969,451.05286,1.0238647,68.74237,496.78802
1.512294068323E13,20.845032,28.884888,451.11084,1.0238647,68.74237,496.78802
1.5122960824832E13,21.087646,29.730225,451.11084,1.0238647,68.74237,496.78802
1.5122980966433E13,20.011902,29.370117,451.46332,1.0238647,68.74237,496.78802
1.5123001108035E13,19.412231,28.373718,451.503,1.0238647,68.74237,496.78802
1.5123021249636E13,19.358826,28.001404,451.4496,1.0238647,68.74237,496.78802
1.5123041391238E13,19.358826,27.748108,450.4593,1.0238647,68.74237,496.78802
1.512306153284E13,19.612122,27.401733,450.5905,1.0238647,68.74237,496.78802
1.5123081674441E13,19.7052,27.31018,450.7721,1.0238647,68.74237,496.78802
1.5123101816043E13,19.570923,28.509521,451.16425,1.0238647,68.74237,496.78802
1.5123121957644E13,19.93103,28.7323,451.41144,1.0238647,68.74237,496.78802
1.5123142099246E13,20.050049,28.692627,451.4496,1.0238647,68.74237,496.78802
1.5123162240847E13,20.050049,28.692627,450.62408,1.0238647,68.74237,496.78802
1.5123182382449E13,18.649292,29.812622,450.16022,1.0238647,68.74237,496.78802
1.5123202524051E13,18.322754,30.0766,450.0946,1.0238647,68.74237,496.78802
1.5123222665652E13,20.385742,29.486084,450.9613,1.0238647,68.74237,496.78802
1.5123242807254E13,20.153809,28.796387,452.26135,1.0238647,68.74237,496.78802
1.5123262948855E13,20.050049,28.692627,452.46582,1.0238647,68.74237,496.78802
1.5123283090457E13,20.973206,27.76947,450.354,1.0238647,68.74237,496.78802
1.5123303232058E13,20.474243,28.575134,450.6958,1.0238647,68.74237,496.78802
1.512332337366E13,20.396423,28.692627,450.7721,1.0238647,68.74237,496.78802
1.5123343515261E13,20.23468,28.530884,449.6704,1.0238647,68.74237,496.78802
1.5123363656863E13,19.902039,28.199768,451.1551,1.0238647,68.74237,496.78802
1.5123383798465E13,19.877625,28.175354,451.2802,1.0238647,68.74237,496.78802
1.5123403940066E13,19.541931,29.515076,451.6098,1.0238647,68.74237,496.78802
1.5123424081668E13,20.030212,28.390503,450.4776,1.0238647,68.74237,496.78802
1.5123444223269E13,20.050049,28.347778,450.43335,1.0238647,68.74237,496.78802
1.5123464364871E13,21.243286,28.866577,452.62604,1.0238647,68.74237,496.78802
1.5123484506472E13,19.532776,28.866577,451.61896,1.0238647,68.74237,496.78802
1.5123504648074E13,19.580078,28.877258,451.64337,1.0238647,68.74237,496.78802
1.5123524789676E13,20.83435,29.162598,452.26593,1.0238647,68.74237,496.78802
