t,mx,my,mz,mxb,myb,mzb 
1.5606459992738E13,-0.3463745,53.58429,439.2578,1.0238647,68.74237,496.78802
1.5606480134339E13,-2.3590088,52.990723,439.14185,1.0238647,68.74237,496.78802
1.5606500275941E13,-2.558899,52.4765,439.563,1.0238647,68.74237,496.78802
1.5606520417542E13,-2.2476196,52.374268,439.76593,1.0238647,68.74237,496.78802
1.5606540559144E13,-2.7526855,52.62451,439.52026,1.0238647,68.74237,496.78802
1.5606560700745E13,-3.5812378,52.589417,439.8056,1.0238647,68.74237,496.78802
1.5606580842347E13,-3.8024902,52.54669,439.9353,1.0238647,68.74237,496.78802
1.5606600983949E13,-3.40271,53.749084,439.28223,1.0238647,68.74237,496.78802
1.560662112555E13,-2.1957397,53.55835,440.42358,1.0238647,68.74237,496.78802
1.5606641267152E13,-1.9012451,53.411865,440.78217,1.0238647,68.74237,496.78802
1.5606661408753E13,-2.8884888,54.115295,439.81628,1.0238647,68.74237,496.78802
1.5606681550355E13,-2.394104,54.41742,439.45618,1.0238647,68.74237,496.78802
1.5606701691956E13,-2.2476196,54.447937,439.4272,1.0238647,68.74237,496.78802
1.5606721833558E13,-2.3971558,52.51465,440.448,1.0238647,68.74237,496.78802
1.5606741975159E13,-1.6647339,54.167175,440.46478,1.0238647,68.74237,496.78802
1.5606762116761E13,-1.5563965,54.447937,440.44342,1.0238647,68.74237,496.78802
1.5606782258363E13,-1.5563965,54.447937,438.91144,1.0238647,68.74237,496.78802
1.5606802399964E13,-1.7150879,56.193542,439.83917,1.0238647,68.74237,496.78802
1.5606822541566E13,-1.7288208,56.349182,439.9353,1.0238647,68.74237,496.78802
1.5606842683167E13,-1.7288208,55.038452,440.25726,1.0238647,68.74237,496.78802
1.5606862824769E13,-2.0614624,54.966736,439.29596,1.0238647,68.74237,496.78802
1.560688296637E13,-2.0736694,54.966736,439.2578,1.0238647,68.74237,496.78802
1.5606903107972E13,-3.2745361,56.166077,440.09857,1.0238647,68.74237,496.78802
1.5606923249574E13,-2.2476196,55.830383,439.08844,1.0238647,68.74237,496.78802
1.5606943391175E13,-2.2521973,55.856323,439.151,1.0238647,68.74237,496.78802
1.5606963532777E13,-2.39563,56.99005,441.91895,1.0238647,68.74237,496.78802
1.5606983674378E13,-1.7288208,55.65796,440.6128,1.0238647,68.74237,496.78802
1.560700381598E13,-1.7074585,55.67932,440.59143,1.0238647,68.74237,496.78802
1.5607023957581E13,-1.5075684,56.072998,440.31525,1.0238647,68.74237,496.78802
1.5607044099183E13,-2.9388428,56.86798,440.78217,1.0238647,68.74237,496.78802
1.5607064240784E13,-2.7328491,56.697083,440.83862,1.0238647,68.74237,496.78802
1.5607084382386E13,-1.2939453,55.43976,440.9973,1.0238647,68.74237,496.78802
1.5607104523988E13,-3.111267,56.349182,438.91907,1.0238647,68.74237,496.78802
1.5607124665589E13,-3.1906128,56.532288,439.25476,1.0238647,68.74237,496.78802
1.5607144807191E13,-3.4576416,57.269287,441.1194,1.0238647,68.74237,496.78802
1.5607164948792E13,-2.5924683,55.830383,441.1194,1.0238647,68.74237,496.78802
1.5607185090394E13,-2.8305054,55.795288,440.9546,1.0238647,68.74237,496.78802
1.5607205231995E13,-3.767395,55.474854,440.16724,1.0238647,68.74237,496.78802
1.5607225373597E13,-3.630066,54.79431,439.76593,1.0238647,68.74237,496.78802
1.5607245515199E13,-3.7963867,55.125427,440.17334,1.0238647,68.74237,496.78802
1.56072656568E13,-4.321289,56.176758,441.37268,1.0238647,68.74237,496.78802
1.5607285798402E13,-4.321289,56.176758,441.1194,1.0238647,68.74237,496.78802
1.5607305940003E13,-4.223633,56.37207,441.21704,1.0238647,68.74237,496.78802
1.5607326081605E13,-3.768921,56.76422,440.75165,1.0238647,68.74237,496.78802
1.5607346223206E13,-3.2836914,56.523132,439.08844,1.0238647,68.74237,496.78802
1.5607366364808E13,-3.9642334,56.636047,439.64386,1.0238647,68.74237,496.78802
1.5607386506409E13,-5.241394,55.680847,440.89813,1.0238647,68.74237,496.78802
1.5607406648011E13,-5.012512,53.411865,441.1194,1.0238647,68.74237,496.78802
1.5607426789613E13,-5.078125,53.21808,440.67993,1.0238647,68.74237,496.78802
1.5607446931214E13,-5.253601,53.359985,440.00092,1.0238647,68.74237,496.78802
1.5607467072816E13,-5.3588867,54.10309,440.10468,1.0238647,68.74237,496.78802
1.5607487214417E13,-6.2942505,53.311157,440.73944,1.0238647,68.74237,496.78802
1.5607507356019E13,-7.6812744,52.275085,440.97137,1.0238647,68.74237,496.78802
1.560752749762E13,-7.7789307,52.374268,440.10468,1.0238647,68.74237,496.78802
1.5607547639222E13,-6.9854736,52.374268,440.5716,1.0238647,68.74237,496.78802
1.5607567780824E13,-6.6238403,51.309204,440.7196,1.0238647,68.74237,496.78802
1.5607587922425E13,-7.260132,50.126648,440.27405,1.0238647,68.74237,496.78802
1.5607608064027E13,-6.9992065,50.387573,440.19012,1.0238647,68.74237,496.78802
1.5607628205628E13,-7.63855,51.182556,440.45715,1.0238647,68.74237,496.78802
1.560764834723E13,-8.470154,51.683044,440.78217,1.0238647,68.74237,496.78802
1.5607668488831E13,-7.713318,50.924683,440.59753,1.0238647,68.74237,496.78802
1.5607688630433E13,-6.6986084,50.881958,439.682,1.0238647,68.74237,496.78802
1.5607708772034E13,-6.3949585,51.33667,439.08844,1.0238647,68.74237,496.78802
